Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,D2C contribution,anom contribution,bathy contribution,sst contribution,D2C permutation importance,anom permutation importance,bathy permutation importance,sst permutation importance,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
RFBO_0,2758,0.4818,0.5133,500,0.7759,307,0.5657,0.7911,0.0099,12581,57.1453,3.9424,16.6795,22.2327,60.8191,4.5670,20.5841,14.0299,8.9593,0.3715,1.0000,0.0684,0.8589,0.0040,0.0000,6.181E-13,5.0000,0.1672,0.6544,0.0279,0.0228,6.432E-33,10.0000,0.2746,0.5287,0.0703,0.0586,7.377E-48,0.3751,0.0464,0.9242,0.0000,0.0000,2.598E-7,12.7293,0.3238,0.4812,0.0997,0.0847,1.242E-52,30.9411,0.5687,0.2934,0.2933,0.2313,0E0,18.4680,0.4210,0.4047,0.1545,0.1238,7.301E-64,33.7970,0.5893,0.2730,0.3274,0.2736,0E0,28.7016,0.5483,0.3104,0.2661,0.1922,0E0,3.2794,0.1297,0.7208,0.0145,0.0130,1.312E-25,6.1620,0.1940,0.6184,0.0352,0.0261,6.007E-38
RFBO_1,2758,0.4890,0.5181,500,0.7771,307,0.4796,0.7686,0.0111,12581,55.5616,3.8692,15.0342,25.5350,60.4534,4.3854,20.3368,14.8244,8.9516,0.3686,1.0000,0.0675,0.8522,0.0058,0.0163,4.246E-11,5.0000,0.1686,0.6486,0.0268,0.0358,2.547E-31,10.0000,0.2766,0.5245,0.0700,0.0814,8.992E-44,0.1134,0.0282,0.9614,0.0000,0.0000,2.253E-4,12.7987,0.3273,0.4767,0.0997,0.1075,1.675E-48,30.9289,0.5676,0.2913,0.2912,0.3290,7.579E-49,18.1825,0.4161,0.4052,0.1548,0.1303,5.048E-62,29.6156,0.5558,0.3011,0.2719,0.2997,8.359E-53,20.8832,0.4579,0.3764,0.1849,0.1564,2.395E-64,3.3982,0.1313,0.7096,0.0134,0.0293,3.443E-24,6.1399,0.1945,0.6136,0.0341,0.0423,1.683E-35
RFBO_2,2758,0.4912,0.5227,500,0.7782,307,0.4490,0.7580,0.0104,12581,56.8475,4.4352,14.7304,23.9868,61.7631,4.8554,20.2452,13.1362,8.9507,0.3682,1.0000,0.0676,0.8534,0.0040,0.0033,6.246E-13,5.0000,0.1674,0.6489,0.0312,0.0293,1.698E-32,10.0000,0.2750,0.5241,0.0700,0.0945,3.883E-41,0.3137,0.0416,0.9284,0.0000,0.0000,5.682E-7,13.2364,0.3327,0.4693,0.0997,0.1270,6.727E-46,30.7990,0.5643,0.2915,0.2915,0.3094,9.998E-54,18.4579,0.4216,0.4014,0.1519,0.1792,4.075E-51,30.1147,0.5595,0.2965,0.2843,0.2964,2.723E-55,26.8786,0.5287,0.3218,0.2447,0.2313,2.211E-63,2.9583,0.1210,0.7297,0.0145,0.0098,4.37E-25,6.1624,0.1936,0.6131,0.0359,0.0456,5.854E-35
RFBO_3,2758,0.4828,0.5137,500,0.7761,307,0.5666,0.7869,0.0098,12581,56.8601,3.5867,16.5193,23.0339,61.3067,4.4461,20.7965,13.4507,8.9584,0.3712,1.0000,0.0684,0.8586,0.0047,0.0033,1.869E-12,5.0000,0.1677,0.6536,0.0294,0.0228,4.891E-33,10.0000,0.2740,0.5279,0.0725,0.0521,1.739E-49,0.3231,0.0440,0.9309,0.0000,0.0000,9.089E-7,12.6341,0.3233,0.4818,0.0997,0.0651,3.997E-57,31.0610,0.5702,0.2924,0.2926,0.2736,5.036E-63,21.1824,0.4646,0.3755,0.1827,0.1726,2.173E-60,31.8707,0.5754,0.2865,0.3028,0.2866,9.504E-62,16.0628,0.3824,0.4331,0.1327,0.0945,6.004E-63,3.2914,0.1295,0.7196,0.0160,0.0033,1.528E-27,6.1549,0.1936,0.6178,0.0352,0.0293,2.133E-37
RFBO_4,2758,0.4889,0.5207,500,0.7778,307,0.4915,0.7713,0.0109,12581,55.6718,4.1422,15.9392,24.2467,60.5724,4.4028,21.1692,13.8556,8.9517,0.3686,1.0000,0.0671,0.8563,0.0036,0.0098,1.117E-11,5.0000,0.1671,0.6496,0.0265,0.0326,8.688E-32,10.0000,0.2747,0.5244,0.0707,0.0814,8.663E-44,0.3053,0.0420,0.9324,0.0000,0.0000,1.183E-6,12.8329,0.3269,0.4758,0.0997,0.1042,1.945E-49,30.8472,0.5649,0.2923,0.2922,0.3127,1.33E-52,18.3048,0.4208,0.4039,0.1487,0.1792,1.91E-50,29.8661,0.5568,0.2997,0.2770,0.2997,2.624E-53,14.8899,0.3636,0.4460,0.1178,0.1238,3.003E-52,3.5006,0.1330,0.7068,0.0149,0.0228,1.14E-25,6.1543,0.1941,0.6137,0.0348,0.0391,3.998E-36
RFBO_5,2759,0.4805,0.5119,500,0.7756,306,0.5948,0.7979,0.0099,12582,57.3902,4.1965,15.3724,23.0410,59.7724,4.1770,20.2043,15.8463,8.9613,0.3723,1.0000,0.0688,0.8604,0.0040,0.0000,9.111E-13,5.0000,0.1668,0.6556,0.0294,0.0163,7.023E-34,10.0000,0.2737,0.5294,0.0707,0.0523,5.806E-49,0.4028,0.0483,0.9214,0.0000,0.0000,1.617E-7,12.9341,0.3278,0.4785,0.0997,0.0882,2.767E-52,31.0844,0.5696,0.2932,0.2932,0.2418,0E0,18.8158,0.4270,0.4014,0.1551,0.1373,3.45E-61,34.1675,0.5936,0.2713,0.3298,0.2712,0E0,28.9335,0.5518,0.3093,0.2653,0.2190,0E0,3.2820,0.1293,0.7221,0.0156,0.0033,3.963E-27,6.1587,0.1934,0.6195,0.0348,0.0196,5.971E-39
RFBO_6,2759,0.4920,0.5224,500,0.7778,306,0.4744,0.7630,0.0113,12582,54.7806,3.4781,16.8285,24.9128,60.3780,4.2424,20.3186,15.0610,8.9495,0.3678,1.0000,0.0663,0.8522,0.0043,0.0065,1.685E-12,5.0000,0.1673,0.6461,0.0301,0.0458,8.889E-30,10.0000,0.2746,0.5213,0.0696,0.1046,1.627E-39,0.2819,0.0398,0.9328,0.0000,0.0000,1.342E-6,12.8515,0.3276,0.4725,0.0997,0.1307,3.05E-44,30.6757,0.5688,0.2922,0.2921,0.3203,1.449E-50,18.1752,0.4203,0.4027,0.1475,0.1993,5.041E-46,29.0909,0.5543,0.3039,0.2708,0.3039,1.33E-50,23.4883,0.4953,0.3498,0.2099,0.2320,2.091E-53,2.9615,0.1208,0.7272,0.0134,0.0196,1.35E-23,6.0888,0.1921,0.6123,0.0366,0.0523,1.066E-33
RFBO_7,2759,0.4875,0.5170,500,0.7768,306,0.4991,0.7734,0.0105,12582,56.7812,3.8670,14.8482,24.5036,59.7766,4.1335,19.8037,16.2862,8.9540,0.3695,1.0000,0.0672,0.8562,0.0040,0.0065,3.895E-12,5.0000,0.1673,0.6509,0.0279,0.0196,5.769E-34,10.0000,0.2741,0.5254,0.0732,0.0719,1.679E-45,0.2510,0.0394,0.9402,0.0000,0.0033,1.506E-5,12.5942,0.3220,0.4802,0.0997,0.1046,3.481E-48,30.8375,0.5686,0.2924,0.2925,0.3137,3.952E-52,18.4691,0.4210,0.4020,0.1522,0.1699,5.851E-53,29.7129,0.5583,0.3007,0.2755,0.3007,1.543E-52,14.6891,0.3581,0.4492,0.1192,0.1144,1.843E-53,3.3680,0.1307,0.7135,0.0145,0.0163,7.089E-26,6.1531,0.1935,0.6151,0.0359,0.0229,4.984E-39
RFBO_8,2759,0.4872,0.5180,500,0.7770,306,0.5060,0.7761,0.0108,12582,54.4858,4.7808,16.1693,24.5641,60.3423,4.4508,20.4234,14.7834,8.9547,0.3698,1.0000,0.0678,0.8546,0.0043,0.0065,2.788E-12,5.0000,0.1686,0.6506,0.0297,0.0359,6.59E-31,10.0000,0.2748,0.5258,0.0700,0.0752,1.02E-44,0.3161,0.0425,0.9288,0.0000,0.0000,6.371E-7,12.9868,0.3302,0.4746,0.0997,0.1078,9.626E-49,31.0964,0.5711,0.2914,0.2914,0.3137,1.695E-52,20.9083,0.4602,0.3770,0.1787,0.1928,1.164E-54,30.0387,0.5614,0.2992,0.2769,0.3007,4.56E-53,18.5733,0.4253,0.4017,0.1559,0.1634,1.294E-54,3.1253,0.1254,0.7234,0.0149,0.0098,8.765E-26,6.1372,0.1935,0.6155,0.0355,0.0392,1.065E-35
RFBO_9,2759,0.4869,0.5182,500,0.7770,306,0.4917,0.7703,0.0105,12582,56.4135,4.6618,14.6350,24.2897,58.9514,4.2679,19.4003,17.3804,8.9520,0.3687,1.0000,0.0663,0.8538,0.0051,0.0033,7.311E-13,5.0000,0.1678,0.6481,0.0268,0.0327,7.047E-32,10.0000,0.2763,0.5241,0.0729,0.0719,9.149E-46,0.3143,0.0420,0.9298,0.0000,0.0000,7.706E-7,12.4350,0.3209,0.4820,0.0997,0.1013,1.644E-48,31.0084,0.5694,0.2910,0.2910,0.3072,2.523E-54,20.3900,0.4530,0.3810,0.1772,0.1830,7.109E-56,30.0414,0.5602,0.2980,0.2791,0.2974,2.663E-54,18.7897,0.4265,0.3980,0.1635,0.1405,2.141E-61,3.5870,0.1350,0.7012,0.0152,0.0229,2.716E-26,6.1166,0.1945,0.6138,0.0348,0.0359,1.298E-36
RFBO (average),2758.5000,0.4868,0.5176,500.0000,0.7769,306.5000,0.5118,0.7757,0.0105,12581.5000,56.1938,4.0960,15.6756,24.0346,60.4135,4.3928,20.3282,14.8654,8.9543,0.3696,1.0000,0.0675,0.8557,0.0044,0.0055,0.0000,5.0000,0.1676,0.6506,0.0286,0.0294,0.0000,10.0000,0.2748,0.5256,0.0710,0.0744,0.0000,0.2997,0.0414,0.9330,0.0000,0.0003,0.0000,12.8033,0.3262,0.4773,0.0997,0.1021,0.0000,30.9280,0.5683,0.2921,0.2921,0.2953,0.0000,19.1354,0.4326,0.3955,0.1603,0.1667,0.0000,30.8316,0.5665,0.2930,0.2896,0.2930,0.0000,21.1890,0.4538,0.3796,0.1860,0.1668,0.0000,3.2752,0.1286,0.7174,0.0147,0.0150,0.0000,6.1428,0.1937,0.6153,0.0353,0.0352,0.0000
