Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,anom contribution,bathy contribution,sst contribution,anom permutation importance,bathy permutation importance,sst permutation importance,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
RFBO_0,2758,0.2469,0.2812,500,0.7016,307,0.2874,0.7012,0.0125,12558,5.3064,23.8752,70.8184,9.2035,30.7604,60.0361,9.1921,0.4805,1.0000,0.1136,0.9056,0.0051,0.0000,7.64E-9,5.0000,0.2522,0.7475,0.0337,0.0228,9.838E-21,10.0000,0.3873,0.6468,0.0765,0.0847,3.624E-23,0.1085,0.0676,0.9766,0.0000,0.0000,3.335E-3,12.4902,0.4236,0.6093,0.0997,0.1010,1.197E-25,37.0300,0.6311,0.3575,0.3575,0.3681,5.578E-24,30.1962,0.5888,0.4141,0.2799,0.2997,1.188E-24,36.3937,0.6281,0.3625,0.3521,0.3616,4.222E-24,20.1949,0.5047,0.5130,0.1856,0.1629,3.192E-30,1.9124,0.1514,0.8546,0.0094,0.0033,8.005E-13,3.8281,0.2175,0.7819,0.0268,0.0163,5.497E-18
RFBO_1,2758,0.2493,0.2810,500,0.7008,307,0.2638,0.7018,0.0131,12558,5.1387,23.9815,70.8798,8.7158,29.8281,61.4562,9.1883,0.4788,1.0000,0.1132,0.8963,0.0065,0.0293,9.594E-6,5.0000,0.2625,0.7426,0.0312,0.0489,3.167E-17,10.0000,0.3905,0.6452,0.0787,0.0717,1.701E-25,0.2461,0.0702,0.9576,0.0000,0.0065,8.962E-4,12.2630,0.4224,0.6115,0.0997,0.1010,2.411E-25,36.8280,0.6269,0.3586,0.3586,0.3518,1.813E-26,16.6207,0.4713,0.5541,0.1421,0.1433,7.277E-27,37.3648,0.6302,0.3544,0.3640,0.3550,9.209E-27,24.1850,0.5376,0.4704,0.2321,0.1987,1.69E-31,2.0484,0.1618,0.8403,0.0105,0.0326,6.042E-10,3.7182,0.2196,0.7789,0.0254,0.0456,6.392E-14
RFBO_2,2758,0.2471,0.2822,500,0.7017,307,0.2825,0.7020,0.0122,12556,5.3936,23.9839,70.6225,9.3841,30.8071,59.8088,9.1918,0.4805,1.0000,0.1141,0.9049,0.0044,0.0065,6.088E-8,5.0000,0.2536,0.7477,0.0319,0.0358,1.241E-18,10.0000,0.3871,0.6475,0.0780,0.0619,7.986E-27,0.1029,0.0660,0.9765,0.0000,0.0000,3.286E-3,12.5589,0.4237,0.6091,0.0997,0.0847,2.019E-28,37.2517,0.6284,0.3564,0.3564,0.3550,2.377E-26,31.3722,0.5966,0.4048,0.2897,0.2801,1.217E-29,37.4233,0.6290,0.3550,0.3575,0.3550,1.271E-26,16.3089,0.4674,0.5594,0.1421,0.1042,8.391E-33,2.0671,0.1592,0.8469,0.0091,0.0130,4.715E-12,3.8253,0.2198,0.7818,0.0254,0.0326,1.699E-15
RFBO_3,2758,0.2449,0.2786,500,0.7008,307,0.3077,0.7067,0.0119,12556,5.9487,24.4411,69.6102,8.6684,31.2752,60.0564,9.1936,0.4814,1.0000,0.1145,0.9066,0.0051,0.0000,9.298E-9,5.0000,0.2512,0.7488,0.0337,0.0163,1.152E-21,10.0000,0.3877,0.6475,0.0787,0.0586,2.195E-27,0.1061,0.0652,0.9770,0.0000,0.0000,3.579E-3,12.4494,0.4225,0.6107,0.0997,0.0814,9.488E-29,37.0648,0.6311,0.3579,0.3579,0.3583,1.663E-25,20.5702,0.5108,0.5098,0.1838,0.1889,2.291E-26,37.0040,0.6309,0.3583,0.3564,0.3583,1.989E-25,30.0239,0.5867,0.4165,0.2810,0.2573,2.196E-31,1.9342,0.1523,0.8548,0.0098,0.0033,8.381E-13,3.8278,0.2185,0.7832,0.0283,0.0130,2.273E-18
RFBO_4,2758,0.2503,0.2852,500,0.7028,307,0.2506,0.6869,0.0129,12555,5.3571,24.3517,70.2913,9.5036,30.1021,60.3942,9.1881,0.4786,1.0000,0.1112,0.9032,0.0051,0.0033,1.494E-8,5.0000,0.2524,0.7442,0.0326,0.0326,1.579E-19,10.0000,0.3880,0.6446,0.0761,0.0912,1.997E-22,0.1113,0.0669,0.9760,0.0000,0.0000,3.016E-3,12.3926,0.4212,0.6087,0.0993,0.1205,1.216E-22,37.0178,0.6296,0.3563,0.3564,0.4007,2.963E-19,30.7542,0.5931,0.4079,0.2839,0.3225,3.507E-22,34.8978,0.6180,0.3732,0.3383,0.3746,3.167E-20,20.8051,0.5108,0.5045,0.1914,0.1987,1.224E-25,1.9194,0.1507,0.8512,0.0091,0.0098,3.844E-12,3.8138,0.2166,0.7790,0.0265,0.0293,2.856E-16
RFBO_5,2759,0.2469,0.2818,500,0.7017,306,0.2876,0.7027,0.0126,12557,4.9376,24.9012,70.1611,11.3306,29.3099,59.3595,9.1921,0.4805,1.0000,0.1150,0.9064,0.0040,0.0065,8.574E-8,5.0000,0.2515,0.7484,0.0333,0.0163,1.234E-21,10.0000,0.3869,0.6466,0.0783,0.0719,3.443E-25,0.1063,0.0668,0.9766,0.0000,0.0033,9.89E-3,12.2806,0.4194,0.6121,0.0997,0.0948,3.364E-26,36.9712,0.6315,0.3576,0.3577,0.3595,2.655E-25,29.6126,0.5840,0.4187,0.2751,0.2843,3.168E-26,36.7174,0.6303,0.3595,0.3541,0.3595,6.207E-25,22.5029,0.5234,0.4877,0.2084,0.2092,1.349E-26,1.6001,0.1372,0.8716,0.0062,0.0098,2.812E-10,3.8611,0.2186,0.7819,0.0268,0.0163,6.3E-18
RFBO_6,2759,0.2473,0.2814,460,0.7015,306,0.2821,0.7025,0.0126,12555,5.6371,25.0546,69.3083,10.9858,30.2693,58.7450,9.1910,0.4801,1.0000,0.1132,0.9043,0.0047,0.0033,1.954E-8,5.0000,0.2536,0.7472,0.0330,0.0294,1.221E-19,10.0000,0.3870,0.6472,0.0754,0.0784,4.806E-24,0.1134,0.0703,0.9754,0.0000,0.0000,2.729E-3,12.4627,0.4210,0.6100,0.0993,0.1013,2.035E-25,36.9228,0.6296,0.3581,0.3581,0.3660,3.913E-24,20.6730,0.5090,0.5078,0.1845,0.2026,2.012E-24,36.3377,0.6262,0.3627,0.3519,0.3627,8.558E-24,12.1589,0.4158,0.6144,0.0942,0.0850,1.649E-27,1.7258,0.1430,0.8628,0.0091,0.0065,1.522E-11,3.8309,0.2193,0.7812,0.0268,0.0229,5.676E-17
RFBO_7,2759,0.2495,0.2830,500,0.7020,306,0.2534,0.6918,0.0130,12557,4.6879,24.5690,70.7431,10.8197,30.3576,58.8227,9.1895,0.4793,1.0000,0.1111,0.9013,0.0054,0.0065,3.202E-8,5.0000,0.2570,0.7447,0.0333,0.0425,6.809E-18,10.0000,0.3894,0.6463,0.0743,0.0980,4.169E-21,0.1883,0.0723,0.9671,0.0000,0.0000,6.278E-4,12.5889,0.4237,0.6076,0.0997,0.1209,1.179E-22,36.7588,0.6276,0.3588,0.3588,0.3627,1.6E-24,19.3620,0.4977,0.5220,0.1707,0.2059,7.956E-22,36.3161,0.6254,0.3623,0.3545,0.3627,7.287E-24,31.9798,0.5980,0.3980,0.3030,0.2941,1.872E-28,2.4652,0.1766,0.8262,0.0134,0.0229,1.629E-12,3.7805,0.2186,0.7799,0.0257,0.0425,3.199E-14
RFBO_8,2759,0.2456,0.2791,500,0.7007,306,0.3010,0.7083,0.0122,12556,5.5511,24.2635,70.1854,11.2704,29.1381,59.5915,9.1928,0.4810,1.0000,0.1155,0.9048,0.0047,0.0033,2.145E-8,5.0000,0.2536,0.7481,0.0337,0.0229,1.364E-20,10.0000,0.3897,0.6479,0.0787,0.0686,1.495E-25,0.1021,0.0656,0.9759,0.0000,0.0000,2.972E-3,12.6187,0.4253,0.6090,0.0997,0.0915,3.381E-27,36.8760,0.6290,0.3596,0.3596,0.3301,5.665E-30,20.4230,0.5064,0.5120,0.1834,0.1699,4.479E-29,38.4409,0.6383,0.3474,0.3766,0.3464,1.171E-29,27.7360,0.5673,0.4376,0.2599,0.2320,1.134E-31,1.7854,0.1467,0.8608,0.0091,0.0033,3.215E-12,3.8182,0.2185,0.7825,0.0261,0.0196,2.405E-17
RFBO_9,2759,0.2509,0.2848,500,0.7019,306,0.2379,0.6886,0.0130,12564,4.7085,21.9697,73.3218,10.3762,27.8675,61.7563,9.1885,0.4787,1.0000,0.1083,0.9003,0.0054,0.0033,8.938E-9,5.0000,0.2565,0.7399,0.0323,0.0621,1.441E-15,10.0000,0.3960,0.6420,0.0779,0.1046,1.152E-20,0.0931,0.0592,0.9777,0.0000,0.0000,4.133E-3,12.1489,0.4267,0.6106,0.0997,0.1242,9.004E-22,37.1294,0.6302,0.3573,0.3574,0.3660,2.746E-24,15.7362,0.4686,0.5634,0.1301,0.1471,8.844E-25,36.4314,0.6265,0.3628,0.3498,0.3627,8.775E-24,28.3654,0.5756,0.4308,0.2671,0.2647,2.711E-27,2.3734,0.1686,0.8271,0.0127,0.0196,6.696E-13,3.6824,0.2112,0.7787,0.0268,0.0458,6.994E-14
RFBO (average),2758.5000,0.2479,0.2818,496.0000,0.7016,306.5000,0.2754,0.6992,0.0126,12557.2000,5.2667,24.1391,70.5942,10.0258,29.9715,60.0027,9.1908,0.4799,1.0000,0.1130,0.9034,0.0050,0.0062,0.0000,5.0000,0.2544,0.7459,0.0329,0.0330,0.0000,10.0000,0.3890,0.6462,0.0773,0.0790,0.0000,0.1278,0.0670,0.9736,0.0000,0.0010,0.0034,12.4254,0.4230,0.6099,0.0996,0.1021,0.0000,36.9850,0.6295,0.3578,0.3578,0.3618,0.0000,23.5320,0.5326,0.4815,0.2123,0.2244,0.0000,36.7327,0.6283,0.3598,0.3555,0.3599,0.0000,23.4261,0.5287,0.4832,0.2165,0.2007,0.0000,1.9831,0.1548,0.8496,0.0098,0.0124,0.0000,3.7986,0.2178,0.7809,0.0265,0.0284,0.0000
